datetime,BTC/EUR,USD/EUR,MCD,BTC/EUR_returns,USD/EUR_returns,MCD_returns,BTC/EUR_value,USD/EUR_value,MCD_value,Portfolio_Return,Portfolio_Value
2023-01-03,15804.080078,0.94645,264.32999,,,,30000.0,30000.0,30000.0,,30000.0
2023-01-04,15883.0,0.94284999,264.39001,0.004993642250007202,-0.0038036980294785527,0.0002270646626212347,30149.809267500215,29885.889059115645,30006.811939878637,0.00047233629438329455,30014.1700888315
2023-01-05,15991.9502,0.94950002,262.16,0.0068595479443429586,0.0070531156287119146,-0.008434547129825387,30356.62332968343,30096.677690316446,29753.718070355924,0.0018260388144098285,30069.006363451932
2023-01-06,15911.87012,0.93924999,269.47,-0.005007524348093595,-0.010795186713108307,0.02788373512358855,30204.61179923414,29771.77843520524,30583.36286397166,0.00402700802079555,30186.584366137013
2023-01-09,16012.29004,0.93005002,267.25,0.006311006766814842,-0.009795017405323514,-0.008238393884291484,30395.23330868812,29480.16334724497,30331.405074392052,-0.003907468174266718,30068.93391010838
2023-01-10,16248.62988,0.93099999,268.91,0.014759902512982537,0.0010214181813574807,0.006211412535079619,30843.863989183716,29510.274922077235,30519.805944077703,0.007330911076473212,30291.31495177955
2023-01-11,16655.32031,0.92909998,268.81,0.02502921372469591,-0.0020408270895899694,-0.00037187162991347833,31615.861653064447,29450.049553595014,30508.45649409664,0.0075388383350641535,30524.789233585365
2023-01-12,17364.74023,0.9217,266.69,0.04259419253402519,-0.007964675663861387,-0.007886611361184515,32962.513751444174,29215.489460615983,30267.848154498093,0.00891430183632643,30815.28378885275
2023-01-13,18407.90039,0.92334998,268.89001,0.06007346762365007,0.001790148638385558,0.008249315684877745,34942.68625408568,29267.789529293677,30517.53718902649,0.023370977315637788,31576.004324135283
2023-01-17,19598.67969,0.92659998,274.10999,0.06468849107021923,0.0035197921377547736,0.019413067819068264,37203.07590180258,29370.806064768345,31109.976208148004,0.02920711700901409,32561.286058239642
2023-01-18,19135.16992,0.92635,266.040009,-0.02365005078564053,-0.0002697820045279853,-0.02944066722996852,36323.22126734291,29362.882349833588,30194.07775107168,-0.017786833340045678,31960.060456082727
2023-01-19,19459.31055,0.92325002,263.57999,0.016939521904177468,-0.003346445727856695,-0.009246800920082565,36938.519269631346,29264.62105763643,29914.879125142023,0.0014487584187460696,32039.339817469932
2023-01-20,20892.34961,0.92140001,268.57999,0.07364284856433434,-0.0020038017437572497,0.0189695735249098,39658.777050395554,29205.980558930743,30482.351624195195,0.030202873448495628,33115.703077840495
2023-01-23,21088.75,0.92095,269.29001,0.009400588907721108,-0.0004883980845626912,0.0026436072173507963,40031.592910029285,29191.716413967984,30562.93498895074,0.0038519326801697376,33262.081437649336
2023-01-24,20791.36914,0.91885,269.56,-0.014101398138818166,-0.002280254085455402,0.001002599390894643,39467.09148027388,29125.151883353585,30593.577368954615,-0.0051263509444596424,33061.940244194026
2023-01-25,21139.070312,0.91614997,273.0,0.01672334177026702,-0.00293848832780097,0.012761537320077121,40127.11313977689,29039.567964498914,30983.998448303202,0.008848796920847724,33383.55985085967
